Invoice No,Invoice Date,Supplier Name,Product Name,Batch No,Expiry,MRP,Purchase Rate,Quantity,Discount,GST%,Rate A,Rate B,Rate C
INV0004,2024-11-14,HealthCare Ltd,Calcium 500mg,BATCH8704,10/2028,198.77,33.88,212,18.9,12,89.88,48.48,130.0
INV0004,2024-04-23,XYZ Medical,Vitamin D3 1000IU,BATCH5716,06/2028,161.05,108.46,34,14.78,5,192.7,152.21,387.01
INV0005,2024-03-28,MediSupply Co,Azithromycin 500mg,BATCH7275,05/2027,133.64,43.87,254,30.02,12,203.28,192.56,121.6
INV0005,2024-11-03,Global Drugs,Aspirin 75mg,BATCH2439,10/2027,428.92,398.71,398,0.08,18,118.43,318.71,335.2
INV0005,2024-11-28,ABC Pharma,Cetirizine 10mg,BATCH7043,09/2027,242.18,71.54,242,7.93,18,194.61,137.29,105.96
INV0005,2024-07-01,HealthCare Ltd,Azithromycin 500mg,BATCH6560,04/2027,244.23,343.73,170,46.72,12,381.96,303.07,394.68
INV0005,2024-11-14,Global Drugs,Cetirizine 10mg,BATCH8660,04/2027,265.09,283.98,136,35.84,18,231.52,159.45,241.08
INV0005,2024-12-19,XYZ Medical,Azithromycin 500mg,BATCH5282,01/2027,475.54,55.91,218,6.75,18,98.45,469.78,94.94
INV0005,2024-03-31,HealthCare Ltd,Paracetamol 500mg,BATCH6774,03/2027,368.82,240.56,328,26.61,5,327.27,134.08,435.91
INV0005,2024-02-08,HealthCare Ltd,Paracetamol 500mg,BATCH4563,04/2027,55.63,235.43,114,26.44,18,199.39,410.97,218.36
INV0005,2024-11-16,HealthCare Ltd,Vitamin D3 1000IU,BATCH7240,12/2026,194.04,252.12,214,11.83,5,210.85,323.81,297.03
INV0005,2024-02-05,HealthCare Ltd,Amoxicillin 250mg,BATCH9298,07/2027,461.75,85.4,108,26.65,12,381.28,170.34,99.43
INV0006,2024-10-28,XYZ Medical,Paracetamol 500mg,BATCH1897,10/2027,142.92,346.68,252,45.63,5,128.73,89.4,381.7
INV0006,2024-09-19,XYZ Medical,Ibuprofen 400mg,BATCH1419,08/2027,322.75,128.31,454,12.04,12,128.84,320.73,406.6
INV0006,2024-09-02,HealthCare Ltd,Azithromycin 500mg,BATCH6997,06/2027,440.34,221.52,392,12.46,18,243.35,137.84,443.07
INV0006,2024-08-04,ABC Pharma,Vitamin D3 1000IU,BATCH4948,12/2027,274.76,126.37,457,33.75,5,441.2,73.58,471.17
INV0006,2024-08-29,XYZ Medical,Omeprazole 20mg,BATCH9844,09/2027,371.07,129.63,417,41.89,12,123.32,333.39,123.4
INV0006,2024-07-28,Global Drugs,Ibuprofen 400mg,BATCH1463,10/2028,261.44,46.96,207,47.88,12,432.1,289.03,440.01
INV0006,2024-05-29,XYZ Medical,Cetirizine 10mg,BATCH8048,01/2027,128.18,32.59,415,10.43,5,147.1,448.06,188.08
INV0006,2024-08-29,Global Drugs,Cetirizine 10mg,BATCH5361,03/2027,452.6,271.61,214,25.39,5,443.09,326.7,249.6
INV0006,2024-05-12,XYZ Medical,Amoxicillin 250mg,BATCH9646,06/2028,199.74,182.86,169,34.57,5,63.9,97.99,157.74
INV0006,2024-01-07,Global Drugs,Amoxicillin 250mg,BATCH2560,11/2026,410.03,382.64,360,30.13,12,60.76,274.1,79.83
INV0007,2024-06-29,ABC Pharma,Amoxicillin 250mg,BATCH8414,06/2028,351.44,188.08,82,43.15,18,59.09,317.19,237.46
INV0007,2024-12-07,ABC Pharma,Azithromycin 500mg,BATCH4862,02/2027,248.18,80.08,187,2.67,18,324.12,418.65,200.69
INV0007,2024-08-17,ABC Pharma,Calcium 500mg,BATCH9426,01/2027,51.93,382.71,298,15.03,5,271.61,210.6,79.72
INV0007,2024-03-28,Global Drugs,Cetirizine 10mg,BATCH1603,03/2028,196.91,125.73,210,40.26,12,300.12,60.76,441.02
INV0007,2024-11-16,HealthCare Ltd,Metformin 500mg,BATCH5884,08/2027,411.13,40.53,252,4.06,5,293.46,342.18,301.7
INV0007,2024-09-26,HealthCare Ltd,Paracetamol 500mg,BATCH2718,08/2027,119.6,312.73,205,18.21,18,403.21,444.75,377.54
INV0007,2024-06-09,MediSupply Co,Metformin 500mg,BATCH6027,07/2027,134.96,367.02,255,26.17,18,219.27,479.17,284.73
INV0007,2024-04-28,MediSupply Co,Amoxicillin 250mg,BATCH7955,04/2028,122.36,315.23,175,27.01,5,216.14,129.45,487.52
INV0007,2024-03-31,XYZ Medical,Omeprazole 20mg,BATCH5015,01/2028,291.2,336.84,101,42.38,18,172.53,217.11,366.1
INV0007,2024-09-19,Global Drugs,Paracetamol 500mg,BATCH5220,01/2028,87.96,275.68,293,12.61,12,43.74,145.64,469.93
INV0008,2024-01-13,HealthCare Ltd,Ibuprofen 400mg,BATCH2839,10/2027,130.94,149.55,253,1.79,5,439.52,254.57,254.71
INV0008,2024-10-19,HealthCare Ltd,Metformin 500mg,BATCH8458,04/2028,263.87,334.43,357,26.9,18,241.27,380.91,389.95
INV0008,2024-01-08,XYZ Medical,Omeprazole 20mg,BATCH5933,09/2028,365.04,220.02,173,37.21,18,112.99,219.53,485.06
INV0008,2024-11-09,MediSupply Co,Paracetamol 500mg,BATCH8468,04/2027,269.4,292.53,115,18.09,18,364.86,329.08,449.9
INV0008,2024-12-11,HealthCare Ltd,Ibuprofen 400mg,BATCH2130,09/2028,346.44,347.15,424,34.35,12,397.57,432.91,103.6
INV0008,2024-11-04,XYZ Medical,Vitamin D3 1000IU,BATCH3852,02/2028,161.11,199.41,334,5.05,5,113.76,54.43,260.96
INV0008,2024-10-18,MediSupply Co,Omeprazole 20mg,BATCH2493,06/2027,288.43,51.66,100,44.32,12,125.46,51.5,486.47
INV0008,2024-05-06,XYZ Medical,Paracetamol 500mg,BATCH2066,09/2027,470.79,174.0,371,18.4,12,278.08,247.8,210.0
INV0008,2024-07-07,MediSupply Co,Amoxicillin 250mg,BATCH3470,08/2028,336.61,303.17,427,22.18,18,439.82,402.45,355.14
INV0008,2024-10-04,XYZ Medical,Amoxicillin 250mg,BATCH4637,02/2028,94.87,256.97,64,16.33,12,46.23,70.04,190.34
INV0009,2024-08-20,MediSupply Co,Aspirin 75mg,BATCH4363,10/2028,217.42,94.06,243,25.63,12,51.05,66.65,449.31
INV0009,2024-05-02,Global Drugs,Amoxicillin 250mg,BATCH4043,12/2026,298.52,341.49,41,5.47,5,257.13,390.32,378.73
INV0009,2024-08-26,Global Drugs,Azithromycin 500mg,BATCH4565,04/2027,345.94,363.67,238,11.22,18,422.93,261.07,305.54
INV0009,2024-04-11,XYZ Medical,Vitamin D3 1000IU,BATCH2924,01/2028,243.22,337.54,196,34.45,5,302.78,474.94,452.82
INV0009,2024-08-30,XYZ Medical,Azithromycin 500mg,BATCH9594,05/2027,359.47,208.7,142,14.13,12,425.33,287.53,295.11
INV0009,2024-06-10,Global Drugs,Calcium 500mg,BATCH1629,02/2028,297.66,45.96,55,18.55,5,446.98,161.48,250.95
INV0009,2024-05-06,XYZ Medical,Omeprazole 20mg,BATCH2308,08/2027,126.39,80.45,362,25.9,12,180.02,235.64,447.96
INV0009,2024-08-19,Global Drugs,Calcium 500mg,BATCH3692,10/2028,288.34,332.68,436,39.66,5,318.95,182.16,65.37
INV0009,2024-05-16,XYZ Medical,Omeprazole 20mg,BATCH9786,09/2028,113.75,286.38,399,15.2,5,202.6,262.73,149.46
INV0009,2024-09-19,ABC Pharma,Amoxicillin 250mg,BATCH1931,12/2027,489.22,59.01,110,43.8,18,126.36,369.86,416.56
INV0010,2024-09-20,ABC Pharma,Cetirizine 10mg,BATCH8475,09/2027,157.71,259.69,454,1.61,12,164.79,426.39,169.8
INV0010,2024-09-08,XYZ Medical,Cetirizine 10mg,BATCH1562,08/2028,329.18,271.03,359,24.05,18,141.83,174.06,384.46
INV0010,2024-12-20,XYZ Medical,Ibuprofen 400mg,BATCH5419,03/2027,465.64,391.18,279,6.73,18,214.88,55.88,450.18
INV0010,2024-08-10,HealthCare Ltd,Cetirizine 10mg,BATCH6092,10/2028,108.46,187.33,453,39.06,5,149.51,152.04,450.92
INV0010,2024-07-23,HealthCare Ltd,Cetirizine 10mg,BATCH8826,11/2027,72.05,260.75,368,34.42,12,371.56,270.52,92.89
INV0010,2024-10-15,MediSupply Co,Calcium 500mg,BATCH8468,06/2027,96.18,90.54,425,20.72,18,412.44,164.06,63.26
INV0010,2024-04-02,XYZ Medical,Amoxicillin 250mg,BATCH5609,03/2027,456.27,344.36,414,15.5,12,246.03,76.16,92.81
INV0010,2024-07-16,HealthCare Ltd,Vitamin D3 1000IU,BATCH3173,06/2027,142.37,315.49,389,14.42,18,416.56,396.83,426.95
INV0010,2024-08-05,Global Drugs,Paracetamol 500mg,BATCH4137,02/2028,490.61,310.47,270,46.51,5,254.55,297.97,241.57
INV0010,2024-08-09,HealthCare Ltd,Metformin 500mg,BATCH9071,01/2027,140.23,54.73,282,39.39,18,369.88,431.16,315.49
INV0011,2024-12-07,Global Drugs,Cetirizine 10mg,BATCH6301,04/2028,451.14,202.39,51,14.21,18,422.76,339.96,228.56
INV0011,2024-04-22,XYZ Medical,Vitamin D3 1000IU,BATCH9665,03/2027,360.82,329.88,271,29.85,18,183.5,139.45,242.02
INV0011,2024-08-06,HealthCare Ltd,Omeprazole 20mg,BATCH9934,08/2028,300.1,39.88,97,12.26,18,306.53,153.59,192.21
INV0011,2024-10-28,MediSupply Co,Azithromycin 500mg,BATCH7589,02/2027,279.34,200.16,179,6.02,12,355.74,126.51,247.54
INV0011,2024-06-10,Global Drugs,Omeprazole 20mg,BATCH7529,02/2028,275.67,219.71,457,48.49,5,159.75,447.75,56.85
INV0011,2024-02-14,MediSupply Co,Paracetamol 500mg,BATCH5359,10/2028,108.84,166.67,178,8.28,5,322.22,330.81,174.23
INV0011,2024-03-19,HealthCare Ltd,Calcium 500mg,BATCH1148,07/2027,218.42,115.85,168,6.46,12,241.72,211.83,375.36
INV0011,2024-11-06,Global Drugs,Cetirizine 10mg,BATCH1877,07/2027,391.75,371.84,260,35.95,18,70.74,476.78,206.55
INV0011,2024-12-15,Global Drugs,Aspirin 75mg,BATCH7214,06/2027,376.58,296.8,299,19.39,18,173.14,191.48,95.72
INV0011,2024-06-08,ABC Pharma,Amoxicillin 250mg,BATCH6743,08/2027,317.13,88.65,430,22.98,12,258.51,381.94,130.0
INV0012,2024-09-29,HealthCare Ltd,Omeprazole 20mg,BATCH3068,08/2028,228.4,271.55,236,49.19,12,57.65,72.16,403.54
INV0012,2024-04-20,XYZ Medical,Amoxicillin 250mg,BATCH6355,07/2027,474.78,92.43,335,6.18,5,288.52,463.96,401.29
INV0012,2024-01-30,MediSupply Co,Amoxicillin 250mg,BATCH2883,04/2027,191.86,116.92,457,48.79,18,408.33,400.7,119.7
INV0012,2024-07-05,ABC Pharma,Paracetamol 500mg,BATCH9756,05/2028,199.46,34.29,233,46.13,5,242.97,419.84,246.63
INV0012,2024-08-10,XYZ Medical,Cetirizine 10mg,BATCH5239,05/2028,237.25,88.61,325,36.89,12,215.01,406.73,425.49
INV0012,2024-06-28,Global Drugs,Azithromycin 500mg,BATCH1410,06/2028,206.19,206.62,252,40.63,5,125.55,66.83,87.39
INV0012,2024-04-03,XYZ Medical,Omeprazole 20mg,BATCH8850,10/2028,126.65,139.69,128,6.06,12,209.17,389.77,165.84
INV0012,2024-10-02,HealthCare Ltd,Azithromycin 500mg,BATCH2985,10/2027,395.35,393.95,415,6.94,5,342.95,248.46,382.82
INV0012,2024-04-04,MediSupply Co,Calcium 500mg,BATCH3846,12/2026,112.39,244.5,330,14.66,12,398.28,150.58,94.53
INV0012,2024-04-29,HealthCare Ltd,Azithromycin 500mg,BATCH1429,04/2027,249.36,57.13,238,40.41,12,359.79,106.11,301.06
INV0013,2024-10-21,XYZ Medical,Paracetamol 500mg,BATCH9853,05/2027,181.75,139.84,214,8.01,18,252.34,126.86,406.77
INV0013,2024-03-18,HealthCare Ltd,Amoxicillin 250mg,BATCH9174,11/2028,204.55,399.4,228,3.39,12,367.08,134.34,105.94
INV0013,2024-05-07,HealthCare Ltd,Vitamin D3 1000IU,BATCH3068,10/2028,53.56,338.19,437,42.81,5,220.31,313.64,335.4
INV0013,2024-09-09,ABC Pharma,Azithromycin 500mg,BATCH5274,02/2028,238.01,198.01,283,32.02,5,329.61,285.97,207.28
INV0013,2024-04-04,ABC Pharma,Paracetamol 500mg,BATCH9742,09/2028,307.91,78.83,372,10.06,18,347.81,135.76,429.25
INV0013,2024-11-09,XYZ Medical,Amoxicillin 250mg,BATCH9315,08/2027,497.46,224.04,136,48.62,5,273.88,123.14,150.69
INV0013,2024-03-10,HealthCare Ltd,Omeprazole 20mg,BATCH5101,07/2027,202.45,307.14,337,45.13,5,130.47,128.55,201.6
INV0013,2024-12-17,MediSupply Co,Azithromycin 500mg,BATCH9884,12/2026,350.37,178.18,477,2.6,12,110.69,258.47,478.57
INV0013,2024-07-04,ABC Pharma,Calcium 500mg,BATCH7719,03/2028,427.18,149.49,167,30.19,18,407.4,395.09,406.15
INV0013,2024-11-15,MediSupply Co,Metformin 500mg,BATCH1633,09/2028,177.63,113.52,403,23.43,5,191.89,439.85,426.18
INV0014,2024-10-08,MediSupply Co,Azithromycin 500mg,BATCH7316,02/2028,284.21,187.98,153,24.52,18,387.49,118.5,493.91
INV0014,2024-06-02,XYZ Medical,Calcium 500mg,BATCH6798,06/2028,148.82,337.13,50,47.6,12,339.93,426.16,309.42
INV0014,2024-02-03,Global Drugs,Aspirin 75mg,BATCH8195,01/2027,492.23,227.03,273,41.06,5,98.22,282.64,331.75
INV0014,2024-06-09,MediSupply Co,Omeprazole 20mg,BATCH1953,02/2028,410.28,332.94,297,3.72,18,153.55,131.38,211.53
INV0014,2024-06-15,MediSupply Co,Paracetamol 500mg,BATCH1168,06/2028,193.94,69.03,60,17.64,5,422.68,174.91,279.47
INV0014,2024-02-05,ABC Pharma,Metformin 500mg,BATCH9393,07/2027,347.81,206.91,213,15.08,5,337.59,467.59,235.52
INV0014,2024-02-26,XYZ Medical,Metformin 500mg,BATCH6532,05/2028,252.86,203.79,255,18.04,5,394.67,226.5,450.88
INV0014,2024-05-03,HealthCare Ltd,Vitamin D3 1000IU,BATCH2578,02/2028,87.25,82.91,92,12.8,18,259.41,238.7,210.62
INV0014,2024-02-08,HealthCare Ltd,Aspirin 75mg,BATCH9643,04/2028,390.49,271.9,218,25.79,5,366.22,201.54,424.71
INV0014,2024-05-29,HealthCare Ltd,Omeprazole 20mg,BATCH2560,06/2027,356.01,55.17,242,31.07,18,98.17,81.33,430.52
INV0015,2024-05-05,MediSupply Co,Aspirin 75mg,BATCH6100,09/2028,292.93,373.32,14,38.37,5,307.83,117.69,345.58
INV0015,2024-01-22,ABC Pharma,Metformin 500mg,BATCH1405,09/2027,274.32,187.62,415,43.76,12,66.14,305.12,326.24
INV0015,2024-05-19,Global Drugs,Omeprazole 20mg,BATCH9008,05/2028,113.4,266.83,85,49.71,18,162.15,75.83,249.14
INV0015,2024-04-18,Global Drugs,Metformin 500mg,BATCH6406,10/2028,374.33,45.58,102,47.04,12,192.38,428.61,278.77
INV0015,2024-01-23,XYZ Medical,Calcium 500mg,BATCH7461,08/2028,384.96,318.39,428,7.45,18,169.29,469.53,252.87
INV0015,2024-05-13,MediSupply Co,Paracetamol 500mg,BATCH5260,08/2028,386.59,388.69,426,17.28,18,322.96,409.08,306.31
INV0015,2024-03-22,ABC Pharma,Calcium 500mg,BATCH3632,10/2028,449.32,42.63,343,28.92,12,231.55,256.5,320.6
INV0015,2024-07-11,Global Drugs,Paracetamol 500mg,BATCH5261,10/2027,348.66,167.89,360,3.43,18,122.03,478.48,455.94
INV0015,2024-03-26,MediSupply Co,Paracetamol 500mg,BATCH1679,01/2028,324.04,385.24,41,22.58,5,350.78,413.34,408.11
INV0015,2024-12-06,HealthCare Ltd,Vitamin D3 1000IU,BATCH6749,06/2028,165.58,178.15,119,30.25,5,433.46,145.5,478.95
INV0016,2024-02-25,XYZ Medical,Omeprazole 20mg,BATCH2324,04/2027,232.57,191.76,108,11.26,18,150.27,236.01,406.79
INV0016,2024-12-21,MediSupply Co,Calcium 500mg,BATCH3333,01/2028,82.42,257.41,253,32.11,12,420.01,252.79,422.8
INV0016,2024-01-25,Global Drugs,Amoxicillin 250mg,BATCH4789,08/2028,377.56,396.15,359,21.17,5,422.94,407.56,114.13
INV0016,2024-10-21,ABC Pharma,Paracetamol 500mg,BATCH5670,07/2028,153.25,354.44,62,23.1,18,250.03,406.81,438.53
INV0016,2024-08-12,XYZ Medical,Calcium 500mg,BATCH8626,02/2027,497.48,215.65,335,25.33,5,304.9,421.0,218.18
INV0016,2024-05-03,MediSupply Co,Amoxicillin 250mg,BATCH7467,09/2028,192.13,377.97,108,40.88,5,163.53,207.62,379.06
INV0016,2024-11-02,Global Drugs,Amoxicillin 250mg,BATCH8805,12/2027,493.37,76.73,324,31.61,5,440.04,80.99,134.76
INV0016,2024-12-22,HealthCare Ltd,Aspirin 75mg,BATCH2021,03/2027,66.6,254.86,420,40.2,18,128.65,402.73,121.12
INV0016,2024-07-28,XYZ Medical,Aspirin 75mg,BATCH8011,09/2028,138.57,77.04,273,49.6,5,245.18,422.04,436.1
INV0016,2024-03-12,HealthCare Ltd,Vitamin D3 1000IU,BATCH8261,10/2027,148.32,214.71,449,22.81,12,72.4,156.49,200.65
INV0017,2024-05-29,MediSupply Co,Vitamin D3 1000IU,BATCH8255,04/2028,340.26,198.85,415,6.43,12,266.78,239.16,497.83
INV0017,2024-12-03,HealthCare Ltd,Omeprazole 20mg,BATCH5149,11/2027,399.86,185.41,204,14.82,5,392.3,410.7,131.69
INV0017,2024-08-04,XYZ Medical,Azithromycin 500mg,BATCH3545,03/2027,254.52,80.56,411,28.77,12,54.61,456.94,372.31
INV0017,2024-11-19,MediSupply Co,Aspirin 75mg,BATCH7328,07/2027,289.33,32.96,202,5.97,18,225.8,101.66,348.3
INV0017,2024-01-17,XYZ Medical,Metformin 500mg,BATCH7984,10/2028,226.73,137.54,160,1.8,18,335.58,56.3,75.72
INV0017,2024-10-16,MediSupply Co,Amoxicillin 250mg,BATCH8833,06/2028,167.91,91.26,133,16.22,12,220.88,295.99,54.03
INV0017,2024-08-05,XYZ Medical,Omeprazole 20mg,BATCH1615,06/2027,315.74,215.3,289,13.15,18,277.16,182.03,153.54
INV0017,2024-03-24,MediSupply Co,Paracetamol 500mg,BATCH7493,08/2028,409.42,328.56,312,32.18,18,281.07,474.76,65.83
INV0017,2024-02-25,MediSupply Co,Cetirizine 10mg,BATCH5076,07/2027,407.49,76.02,490,18.97,12,243.64,422.41,419.63
INV0017,2024-01-31,XYZ Medical,Vitamin D3 1000IU,BATCH5354,04/2028,78.33,259.38,15,45.97,12,211.54,190.92,230.03
INV0018,2024-03-08,MediSupply Co,Azithromycin 500mg,BATCH6356,03/2027,421.94,30.91,20,17.63,12,313.98,425.5,140.91
INV0018,2024-02-11,XYZ Medical,Amoxicillin 250mg,BATCH9866,02/2028,120.37,87.24,59,9.9,5,382.82,256.31,102.33
INV0018,2024-05-04,MediSupply Co,Amoxicillin 250mg,BATCH8308,02/2028,412.26,297.26,116,32.33,12,44.37,466.03,385.09
INV0018,2024-10-10,MediSupply Co,Vitamin D3 1000IU,BATCH5691,12/2027,150.27,186.47,249,47.28,12,363.2,108.79,389.8
INV0018,2024-01-03,XYZ Medical,Paracetamol 500mg,BATCH8687,08/2028,54.39,140.44,194,43.45,12,207.18,149.86,342.83
INV0018,2024-08-03,XYZ Medical,Aspirin 75mg,BATCH5111,01/2028,58.2,360.13,111,36.47,18,181.28,198.16,108.94
INV0018,2024-11-06,Global Drugs,Metformin 500mg,BATCH5918,04/2027,137.4,316.22,431,1.97,5,284.66,183.61,146.59
INV0018,2024-05-14,Global Drugs,Metformin 500mg,BATCH2600,04/2027,443.52,76.61,301,19.33,12,426.88,449.05,247.54
INV0018,2024-04-29,XYZ Medical,Ibuprofen 400mg,BATCH8731,06/2028,194.55,289.4,113,42.89,5,190.73,307.5,258.58
INV0018,2024-08-14,MediSupply Co,Amoxicillin 250mg,BATCH3697,07/2028,135.82,138.63,325,43.16,18,140.13,155.96,401.75
INV0019,2024-09-23,MediSupply Co,Calcium 500mg,BATCH2309,07/2027,487.62,395.78,275,4.15,12,338.9,416.96,87.14
INV0019,2024-08-12,MediSupply Co,Ibuprofen 400mg,BATCH6189,10/2028,249.49,324.08,424,28.37,18,238.79,407.94,261.5
INV0019,2024-05-04,MediSupply Co,Azithromycin 500mg,BATCH9093,12/2027,233.69,265.36,436,21.96,18,82.48,418.2,430.84
INV0019,2024-10-18,Global Drugs,Paracetamol 500mg,BATCH5760,08/2027,87.98,345.92,305,5.02,5,382.26,158.88,201.15
INV0019,2024-07-19,Global Drugs,Azithromycin 500mg,BATCH7262,03/2027,224.83,235.36,309,49.31,18,342.28,188.98,73.69
INV0019,2024-03-19,Global Drugs,Ibuprofen 400mg,BATCH8330,10/2027,189.22,59.22,47,47.2,18,423.84,328.7,161.31
INV0019,2024-06-12,XYZ Medical,Amoxicillin 250mg,BATCH5761,03/2027,246.22,165.55,262,18.72,18,344.17,298.83,78.04
INV0019,2024-12-24,HealthCare Ltd,Vitamin D3 1000IU,BATCH6966,06/2028,493.01,390.69,417,9.26,5,304.63,330.01,263.16
INV0019,2024-06-30,XYZ Medical,Omeprazole 20mg,BATCH3900,07/2027,480.23,277.18,242,49.25,5,373.23,360.54,453.15
INV0019,2024-09-11,XYZ Medical,Paracetamol 500mg,BATCH3930,11/2027,206.01,336.16,211,11.6,12,377.71,47.85,209.63
INV0020,2024-04-23,ABC Pharma,Ibuprofen 400mg,BATCH4179,11/2027,113.15,93.29,13,4.69,5,347.58,98.36,120.94
INV0020,2024-08-25,HealthCare Ltd,Calcium 500mg,BATCH2272,02/2027,388.42,387.56,147,31.32,18,387.72,333.36,274.04
INV0020,2024-02-25,ABC Pharma,Amoxicillin 250mg,BATCH5851,12/2026,112.53,397.0,45,20.46,5,212.62,330.64,343.01
INV0020,2024-10-12,Global Drugs,Ibuprofen 400mg,BATCH7119,06/2027,185.6,85.31,165,26.41,5,267.43,163.98,224.19
